date,window_idx,worker_id,crew_id,zone,task,hour,imu_energy,imu_entropy,radar_entropy,zone_match,material_ready,drawing_ready,congestion_index,travel_ratio,interference_flag,task_complexity,productivity_score_true,productivity_class_true,productivity_score_pred,productivity_class_pred
05/01/2026,0,W01,C1,Z2,Framing,8,0.6058,0.5894,0.4381,1,1,1,0.3194,0.1487,0,0.4,0.81,2,0.7395,2
05/01/2026,1,W01,C1,Z2,Framing,8.75,0.5267,0.6201,0.4576,1,1,0,0.423,0.1147,0,0.4,0.7731,2,0.7062,2
05/01/2026,2,W01,C1,Z2,Framing,9.5,0.4509,0.5379,0.5802,1,1,1,0.3758,0.263,1,0.4,0.6175,2,0.6699,2
05/01/2026,3,W01,C1,Z2,Framing,10.25,0.7774,0.5038,0.7056,1,1,1,0.3166,0.1161,0,0.4,1,2,0.8303,2
05/01/2026,4,W01,C1,Z2,Framing,11,0.8856,0.6466,0.4621,1,1,1,0.335,0.1748,0,0.4,0.9015,2,0.8528,2
05/01/2026,5,W01,C1,Z2,Framing,11.75,0.5668,0.6644,0.5683,1,1,1,0.4566,0.237,0,0.4,0.7242,2,0.7562,2
05/01/2026,6,W01,C1,Z2,Framing,12.5,0.6972,0.6426,0.6895,0,1,1,0.301,0.2182,0,0.4,0.7366,2,0.7596,2
05/01/2026,7,W01,C1,Z2,Framing,13.25,0.6406,0.7025,0.5967,1,1,1,0.1984,0.1709,1,0.4,0.6352,2,0.7921,2
05/01/2026,8,W01,C1,Z2,Framing,14,0.5589,0.5903,0.4943,1,1,1,0.4169,0.178,0,0.4,0.7367,2,0.709,2
05/01/2026,9,W01,C1,Z2,Framing,14.75,0.3734,0.69,0.4565,1,0,1,0.3236,0.072,0,0.4,0.6198,2,0.6422,2
05/01/2026,10,W01,C1,Z2,Framing,15.5,0.6483,0.516,0.6853,1,1,1,0.6936,0.1401,0,0.4,0.718,2,0.6523,2
05/01/2026,11,W01,C1,Z2,Framing,16.25,0.8166,0.6557,0.3992,0,1,1,0.3315,0.1695,1,0.4,0.5802,1,0.5951,1
05/01/2026,0,W02,C2,Z4,Framing,8,0.4081,0.6385,0.5437,1,1,1,0.4093,0.3362,1,0.4,0.593,1,0.6158,2
05/01/2026,1,W02,C2,Z4,Framing,8.75,0.7913,0.5173,0.6824,1,1,1,0.3409,0.3988,0,0.4,0.8827,2,0.8635,2
05/01/2026,2,W02,C2,Z4,Framing,9.5,0.5553,0.3548,0.6125,1,1,1,0.2571,0.2808,0,0.4,0.6686,2,0.7867,2
05/01/2026,3,W02,C2,Z4,Framing,10.25,0.4218,0.436,0.5768,1,0,1,0.22,0.34,0,0.4,0.6214,2,0.6551,2
05/01/2026,4,W02,C2,Z4,Framing,11,0.6229,0.5646,0.477,0,1,1,0.1405,0.2526,0,0.4,0.7143,2,0.7134,2
05/01/2026,5,W02,C2,Z4,Framing,11.75,0.8143,0.5784,0.5086,1,1,1,0.3334,0.2449,0,0.4,0.7315,2,0.8438,2
05/01/2026,6,W02,C2,Z4,Framing,12.5,0.6252,0.6002,0.4371,1,1,1,0.3583,0.2344,1,0.4,0.7111,2,0.699,2
05/01/2026,7,W02,C2,Z4,Framing,13.25,0.5309,0.5095,0.5573,1,1,1,0.5012,0.357,0,0.4,0.7051,2,0.743,2
05/01/2026,8,W02,C2,Z4,Framing,14,0.5978,0.5239,0.6928,1,1,1,0.3932,0.2074,0,0.4,0.6226,2,0.7528,2
05/01/2026,9,W02,C2,Z4,Framing,14.75,0.5943,0.6347,0.5316,0,1,1,0.2374,0.2403,0,0.4,0.6401,2,0.668,2
05/01/2026,10,W02,C2,Z4,Framing,15.5,0.8719,0.5651,0.6534,1,1,1,0.4233,0.3466,0,0.4,0.7982,2,0.7846,2
05/01/2026,11,W02,C2,Z4,Framing,16.25,0.3987,0.4948,0.3374,1,0,1,0.3171,0.3289,0,0.4,0.5155,1,0.5211,1
05/01/2026,0,W03,C3,Z3,Framing,8,0.7104,0.6811,0.622,1,1,1,0.4867,0.084,0,0.4,0.8047,2,0.8181,2
05/01/2026,1,W03,C3,Z3,Framing,8.75,0.628,0.5268,0.3136,1,1,1,0.5625,0.1238,1,0.4,0.5552,1,0.637,2
05/01/2026,2,W03,C3,Z3,Framing,9.5,0.5252,0.3927,0.5541,1,1,0,0.6868,0,0,0.4,0.4719,1,0.6033,1
05/01/2026,3,W03,C3,Z3,Framing,10.25,0.6321,0.4563,0.4601,1,0,1,0.4805,0.0906,0,0.4,0.618,2,0.6386,2
05/01/2026,4,W03,C3,Z3,Framing,11,0.5665,0.6312,0.5138,1,1,1,0.3256,0.1162,0,0.4,0.7521,2,0.7798,2
05/01/2026,5,W03,C3,Z3,Framing,11.75,0.6781,0.5472,0.5488,1,1,1,0.6931,0.2269,1,0.4,0.5947,1,0.6501,2
05/01/2026,6,W03,C3,Z3,Framing,12.5,0.4134,0.4596,0.506,0,0,1,0.3531,0.3269,0,0.4,0.3878,1,0.4437,1
05/01/2026,7,W03,C3,Z3,Framing,13.25,0.7273,0.5956,0.5724,1,1,1,0.5984,0.2302,0,0.4,0.7465,2,0.6758,2
05/01/2026,8,W03,C3,Z3,Framing,14,0.6431,0.3885,0.619,1,1,1,0.5448,0.2799,0,0.4,0.7146,2,0.6435,2
05/01/2026,9,W03,C3,Z3,Framing,14.75,0.3756,0.7809,0.5014,0,0,0,0.4828,0.0599,0,0.4,0.3856,1,0.4561,1
05/01/2026,10,W03,C3,Z3,Framing,15.5,0.743,0.5221,0.5511,1,1,0,0.6206,0.1127,0,0.4,0.6105,2,0.6192,2
05/01/2026,11,W03,C3,Z3,Framing,16.25,0.3636,0.4198,0.4706,1,1,1,0.2859,0.246,0,0.4,0.5788,1,0.617,2
05/01/2026,0,W04,C1,Z2,Framing,8,0.8033,0.6698,0.4838,0,1,1,0.3108,0.3105,0,0.4,0.7434,2,0.7881,2
05/01/2026,1,W04,C1,Z2,Framing,8.75,0.601,0.4948,0.5112,0,1,1,0.3011,0.188,0,0.4,0.6744,2,0.6534,2
05/01/2026,2,W04,C1,Z2,Framing,9.5,0.3994,0.6799,0.3961,1,0,0,0.4035,0.1219,0,0.4,0.6076,1,0.6437,2
05/01/2026,3,W04,C1,Z2,Framing,10.25,0.6934,0.4214,0.5121,1,1,1,0.4644,0.1469,1,0.4,0.7331,2,0.7428,2
05/01/2026,4,W04,C1,Z2,Framing,11,0.5503,0.4554,0.5365,1,1,1,0.5223,0.1811,1,0.4,0.6668,2,0.7344,2
05/01/2026,5,W04,C1,Z2,Framing,11.75,0.7211,0.5828,0.6025,1,1,0,0.1795,0.159,0,0.4,0.9025,2,0.8874,2
05/01/2026,6,W04,C1,Z2,Framing,12.5,0.6671,0.6657,0.6521,1,1,1,0.2601,0.1908,0,0.4,0.7862,2,0.8219,2
05/01/2026,7,W04,C1,Z2,Framing,13.25,0.7197,0.4527,0.4341,1,1,1,0.246,0.0903,0,0.4,0.8742,2,0.8141,2
05/01/2026,8,W04,C1,Z2,Framing,14,0.4606,0.5131,0.5033,1,0,0,0.4462,0.3353,1,0.4,0.5192,1,0.4894,1
05/01/2026,9,W04,C1,Z2,Framing,14.75,0.6892,0.4086,0.6554,0,1,1,0.211,0.1674,0,0.4,0.7647,2,0.7026,2
05/01/2026,10,W04,C1,Z2,Framing,15.5,0.5118,0.4039,0.5168,1,0,1,0.1814,0.2639,0,0.4,0.7058,2,0.6238,2
05/01/2026,11,W04,C1,Z2,Framing,16.25,0.7063,0.4356,0.7431,1,1,1,0.3374,0.184,0,0.4,0.8131,2,0.767,2
05/01/2026,0,W05,C2,Z1,Framing,8,0.7235,0.725,0.6625,0,1,0,0.2325,0.2129,0,0.4,0.7853,2,0.7471,2
05/01/2026,1,W05,C2,Z1,Framing,8.75,0.6338,0.5719,0.5696,1,1,1,0.1174,0.1227,0,0.4,0.8275,2,0.8832,2
05/01/2026,2,W05,C2,Z1,Framing,9.5,0.5389,0.4183,0.5058,1,1,1,0.5121,0.1612,0,0.4,0.7597,2,0.7431,2
05/01/2026,3,W05,C2,Z1,Framing,10.25,0.5335,0.5045,0.4028,1,1,1,0.4747,0.1307,0,0.4,0.686,2,0.7612,2
